0,0.000000,0.000000,0.896055
67,0.669667,-0.000448,0.894044
134,1.334151,-0.002240,0.887943
201,1.988351,-0.005388,0.877547
268,2.627336,-0.009913,0.862499
335,3.246429,-0.015856,0.842261
402,3.841299,-0.023270,0.816074
469,4.408062,-0.032229,0.782902
536,4.943384,-0.042828,0.741350
603,5.444616,-0.055184,0.689567
670,5.909939,-0.069439,0.625134
737,6.338561,-0.085756,0.544982
804,6.730957,-0.104308,0.445452
871,7.089176,-0.125239,0.322724
938,7.417182,-0.148601,0.174042
1005,7.721145,-0.174234,0.000000
1072,8.009449,-0.201624,-0.192843
1139,8.292107,-0.229848,-0.391636
1206,8.579474,-0.257725,-0.581395
1273,8.880729,-0.284181,-0.751018
1340,9.202833,-0.308534,-0.896055
1407,9.550258,-0.330542,-1.017319
1474,9.925226,-0.350279,-1.118179
1541,10.328127,-0.367978,-1.202604
1608,10.757916,-0.383933,-1.274235
1675,11.212444,-0.398440,-1.336115
1742,11.688715,-0.411780,-1.390699
1809,12.183082,-0.424209,-1.439960
1876,12.691420,-0.435960,-1.485513
1943,13.209257,-0.447250,-1.528722
2010,13.731898,-0.458279,-1.570796
2077,14.254540,-0.469243,-1.612871
2144,14.772381,-0.480332,-1.656080
2211,15.280727,-0.491741,-1.701633
2278,15.775107,-0.503671,-1.750894
2345,16.251395,-0.516334,-1.805478
2412,16.705951,-0.529963,-1.867358
2479,17.135780,-0.544810,-1.938989
2546,17.538738,-0.561148,-2.023413
2613,17.913788,-0.579267,-2.124274
2680,18.261324,-0.599447,-2.245537
2747,18.583566,-0.621903,-2.390574
2814,18.884963,-0.646682,-2.560198
2881,19.172430,-0.673508,-2.749957
2948,19.455095,-0.701662,-2.948750
3015,19.743305,-0.730033,-3.141593
3082,20.047114,-0.757423,-3.315635
3149,20.374962,-0.782908,-3.464317
3216,20.733049,-0.805987,-3.587044
3283,21.125346,-0.826518,-3.686575
3350,21.553899,-0.844571,-3.766726
3417,22.019174,-0.860307,-3.831160
3484,22.520374,-0.873912,-3.882943
3551,23.055674,-0.885559,-3.924495
3618,23.622422,-0.895402,-3.957667
3685,24.217283,-0.903566,-3.983853
3752,24.836369,-0.910154,-4.004091
3819,25.475349,-0.915244,-4.019140
3886,26.129547,-0.918897,-4.029535
3953,26.794029,-0.921159,-4.035637
4020,27.463696,-0.922058,-4.037648
4087,28.133363,-0.921610,-4.035637
4154,28.797847,-0.919818,-4.029535
4221,29.452048,-0.916670,-4.019140
4288,30.091032,-0.912145,-4.004091
4355,30.710125,-0.906202,-3.983853
4422,31.304995,-0.898788,-3.957667
4489,31.871758,-0.889829,-3.924495
4556,32.407080,-0.879230,-3.882943
4623,32.908312,-0.866874,-3.831160
4690,33.373635,-0.852619,-3.766726
4757,33.802257,-0.836302,-3.686575
4824,34.194654,-0.817750,-3.587044
4891,34.552873,-0.796819,-3.464317
4958,34.880878,-0.773457,-3.315635
5025,35.184841,-0.747824,-3.141593
5092,35.473145,-0.720434,-2.948750
5159,35.755803,-0.692210,-2.749957
5226,36.043170,-0.664333,-2.560198
5293,36.344425,-0.637877,-2.390574
5360,36.666529,-0.613524,-2.245537
5427,37.013954,-0.591516,-2.124274
5494,37.388923,-0.571779,-2.023413
5561,37.791823,-0.554080,-1.938989
5628,38.221612,-0.538125,-1.867358
5695,38.676141,-0.523618,-1.805478
5762,39.152411,-0.510278,-1.750894
5829,39.646778,-0.497849,-1.701633
5896,40.155116,-0.486098,-1.656080
5963,40.672953,-0.474808,-1.612871
6030,41.195594,-0.463779,-1.570796
6097,41.718236,-0.452815,-1.528722
6164,42.236077,-0.441726,-1.485513
6231,42.744423,-0.430317,-1.439960
6298,43.238803,-0.418387,-1.390699
6365,43.715092,-0.405724,-1.336115
6432,44.169647,-0.392095,-1.274235
6499,44.599476,-0.377249,-1.202604
6566,45.002434,-0.360910,-1.118179
6633,45.377484,-0.342792,-1.017319
6700,45.725020,-0.322612,-0.896055
6767,46.047262,-0.300155,-0.751018
6834,46.348660,-0.275376,-0.581395
6901,46.636127,-0.248550,-0.391636
6968,46.918791,-0.220396,-0.192843
7035,47.207001,-0.192026,-0.000000
7102,47.510810,-0.164635,0.174042
7169,47.838658,-0.139150,0.322724
7236,48.196745,-0.116071,0.445452
7303,48.589043,-0.095540,0.544982
7370,49.017595,-0.077487,0.625134
7437,49.482871,-0.061751,0.689567
7504,49.984070,-0.048147,0.741350
7571,50.519371,-0.036499,0.782902
7638,51.086118,-0.026656,0.816074
7705,51.680979,-0.018492,0.842261
7772,52.300065,-0.011905,0.862499
7839,52.939046,-0.006815,0.877547
7906,53.593243,-0.003161,0.887943
7973,54.257726,-0.000899,0.894044
8040,54.927392,-0.000000,0.896055
